07-12-2023 21:14:03 |: AVVIO ESEGUIBILE
07-12-2023 21:14:03 |: ERRORE apertura file: /sys/class/thermal/thermal_zone0/temp
023 10:55:25 |: Aggiornati file
09-12-2023 10:55:58 |: Aggiornati file
09-12-2023 10:56:30 |: Aggiornati file
09-12-2023 10:57:03 |: Aggiornati file
09-12-2023 10:57:36 |: Aggiornati file
09-12-2023 10:58:08 |: Aggiornati file
09-12-2023 10:58:41 |: Aggiornati file
09-12-2023 10:59:13 |: Aggiornati file
09-12-2023 10:59:46 |: Aggiornati file
09-12-2023 11:00:18 |: Aggiornati file
09-12-2023 11:00:51 |: Aggiornati file
09-12-2023 11:01:23 |: Aggiornati file
09-12-2023 11:01:56 |: Aggiornati file
09-12-2023 11:02:28 |: Aggiornati file
09-12-2023 11:03:01 |: Aggiornati file
09-12-2023 11:03:33 |: Aggiornati file
09-12-2023 11:04:06 |: Aggiornati file
09-12-2023 11:04:38 |: Aggiornati file
09-12-2023 11:05:10 |: Aggiornati file
09-12-2023 11:05:43 |: Aggiornati file
09-12-2023 11:06:15 |: Aggiornati file
09-12-2023 11:06:47 |: Aggiornati file
09-12-2023 11:07:19 |: Aggiornati file
09-12-2023 11:07:52 |: Aggiornati file
09-12-2023 11:08:24 |: Aggiornati file
09-12-2023 11:08:56 |: Aggiornati file
09-12-2023 11:09:28 |: Aggiornati file
09-12-2023 11:10:01 |: Aggiornati file
09-12-2023 11:10:33 |: Aggiornati file
09-12-2023 11:11:05 |: Aggiornati file
09-12-2023 11:11:37 |: Aggiornati file
09-12-2023 11:12:10 |: Aggiornati file
09-12-2023 11:12:42 |: Aggiornati file
09-12-2023 11:13:14 |: Aggiornati file
09-12-2023 11:13:46 |: Aggiornati file
09-12-2023 11:14:19 |: Aggiornati file
09-12-2023 11:14:51 |: Aggiornati file
09-12-2023 11:15:23 |: Aggiornati file
09-12-2023 11:15:55 |: Aggiornati file
09-12-2023 11:16:28 |: Aggiornati file
09-12-2023 11:17:00 |: Aggiornati file
